input_sizes,output_layouts
"[(158, 286), (269, 83), (165, 176), (233, 184), (172, 190)]","[(551, 350, 709, 350, 709, 636, 551, 636), (704, 628, 973, 628, 973, 711, 704, 711), (203, 364, 368, 364, 368, 540, 203, 540), (158, 31, 391, 31, 391, 215, 158, 215), (645, 491, 817, 491, 817, 681, 645, 681)]"
"[(81, 172), (155, 141), (66, 138), (93, 76)]","[(281, 314, 362, 314, 362, 486, 281, 486), (606, 169, 761, 169, 761, 310, 606, 310), (152, 119, 218, 119, 218, 257, 152, 257), (872, 903, 965, 903, 965, 979, 872, 979)]"
"[(184, 145), (253, 187), (154, 276), (201, 271), (185, 158), (116, 177), (77, 133), (193, 290), (138, 175)]","[(246, 79, 430, 79, 430, 224, 246, 224), (131, 348, 384, 348, 384, 535, 131, 535), (469, 675, 623, 675, 623, 951, 469, 951), (480, 549, 681, 549, 681, 820, 480, 820), (208, 48, 393, 48, 393, 206, 208, 206), (100, 107, 216, 107, 216, 284, 100, 284), (409, 212, 486, 212, 486, 345, 409, 345), (24, 400, 217, 400, 217, 690, 24, 690), (598, 720, 736, 720, 736, 895, 598, 895)]"
"[(165, 193), (186, 122), (58, 116), (66, 141), (57, 219), (108, 135), (62, 112), (199, 287)]","[(260, 309, 425, 309, 425, 502, 260, 502), (334, 474, 520, 474, 520, 596, 334, 596), (456, 521, 514, 521, 514, 637, 456, 637), (145, 417, 211, 417, 211, 558, 145, 558), (114, 412, 171, 412, 171, 631, 114, 631), (357, 404, 465, 404, 465, 539, 357, 539), (578, 95, 640, 95, 640, 207, 578, 207), (483, 354, 682, 354, 682, 641, 483, 641)]"
"[(264, 102), (89, 227), (71, 270), (64, 63), (123, 299), (59, 103), (255, 211)]","[(93, 833, 357, 833, 357, 935, 93, 935), (868, 19, 957, 19, 957, 246, 868, 246), (636, 347, 707, 347, 707, 617, 636, 617), (270, 468, 334, 468, 334, 531, 270, 531), (87, 607, 210, 607, 210, 906, 87, 906), (252, 701, 311, 701, 311, 804, 252, 804), (159, 69, 414, 69, 414, 280, 159, 280)]"
"[(178, 154), (139, 130), (252, 141), (167, 61)]","[(249, 253, 427, 253, 427, 407, 249, 407), (109, 851, 248, 851, 248, 981, 109, 981), (308, 709, 560, 709, 560, 850, 308, 850), (561, 562, 728, 562, 728, 623, 561, 623)]"
"[(154, 66), (153, 105), (280, 287), (155, 296), (258, 98), (144, 79), (152, 57), (90, 227), (152, 230)]","[(238, 606, 392, 606, 392, 672, 238, 672), (353, 787, 506, 787, 506, 892, 353, 892), (219, 583, 499, 583, 499, 870, 219, 870), (624, 240, 779, 240, 779, 536, 624, 536), (664, 450, 922, 450, 922, 548, 664, 548), (333, 754, 477, 754, 477, 833, 333, 833), (840, 662, 992, 662, 992, 719, 840, 719), (706, 298, 796, 298, 796, 525, 706, 525), (721, 709, 873, 709, 873, 939, 721, 939)]"
"[(269, 291), (77, 214)]","[(455, 89, 724, 89, 724, 380, 455, 380), (373, 521, 450, 521, 450, 735, 373, 735)]"
"[(252, 177), (212, 149), (207, 137), (145, 277), (116, 107), (63, 104), (65, 198), (260, 97), (161, 297)]","[(250, 800, 502, 800, 502, 977, 250, 977), (457, 538, 669, 538, 669, 687, 457, 687), (244, 668, 451, 668, 451, 805, 244, 805), (204, 116, 349, 116, 349, 393, 204, 393), (475, 81, 591, 81, 591, 188, 475, 188), (913, 790, 976, 790, 976, 894, 913, 894), (429, 585, 494, 585, 494, 783, 429, 783), (739, 299, 999, 299, 999, 396, 739, 396), (674, 185, 835, 185, 835, 482, 674, 482)]"
"[(90, 123), (105, 176), (60, 102), (208, 75), (122, 232), (222, 236), (133, 137), (95, 140), (140, 131), (260, 103), (257, 134), (234, 224)]","[(661, 34, 751, 34, 751, 157, 661, 157), (297, 349, 402, 349, 402, 525, 297, 525), (698, 505, 758, 505, 758, 607, 698, 607), (153, 606, 361, 606, 361, 681, 153, 681), (397, 751, 519, 751, 519, 983, 397, 983), (686, 311, 908, 311, 908, 547, 686, 547), (538, 15, 671, 15, 671, 152, 538, 152), (298, 859, 393, 859, 393, 999, 298, 999), (117, 751, 257, 751, 257, 882, 117, 882), (249, 88, 509, 88, 509, 191, 249, 191), (278, 726, 535, 726, 535, 860, 278, 860), (566, 483, 800, 483, 800, 707, 566, 707)]"
